1,0.73843,0.24285,0.91742,0.26906,0.7655,0.18866,0.2875,0.091113,0.57621,0.68336,0.54659,0.42573,0.64444,0.64762,0.67902,0.63579,0.94517,0.20893,0.70928,0.23623
0.73843,1,0.45014,0.45873,0.66194,0.77029,0.35022,0.66201,0.41616,0.84193,0.83292,0.25644,0.61346,0.58225,0.54074,0.86994,0.26478,0.31807,0.11921,0.93983,0.64555
0.24285,0.45014,1,0.64731,0.54389,0.72105,0.5225,0.9937,0.21868,0.1058,0.1097,0.063591,0.40458,0.44837,0.36582,0.7635,0.6279,0.77198,0.93285,0.97274,0.19203
0.91742,0.45873,0.64731,1,0.53034,0.86114,0.48485,0.39346,0.67143,0.74126,0.52005,0.34771,0.15,0.58609,0.26215,0.044454,0.75493,0.24279,0.4424,0.6878,0.35923
0.26906,0.66194,0.54389,0.53034,1,0.019578,0.33086,0.42431,0.27027,0.19705,0.82172,0.42992,0.88777,0.39118,0.76911,0.39679,0.80851,0.75508,0.3774,0.21602,0.79041
0.7655,0.77029,0.72105,0.86114,0.019578,1,0.16725,0.86198,0.98987,0.51442,0.88428,0.58803,0.15475,0.19986,0.40695,0.74871,0.82558,0.78996,0.31852,0.53406,0.089951
0.18866,0.35022,0.5225,0.48485,0.33086,0.16725,1,0.054974,0.85071,0.56056,0.92961,0.69667,0.58279,0.8154,0.87901,0.98891,0.00052238,0.86544,0.61257,0.98995,0.52768
0.2875,0.66201,0.9937,0.39346,0.42431,0.86198,0.054974,1,0.58599,0.24673,0.66642,0.083483,0.62596,0.66094,0.72975,0.89075,0.9823,0.76903,0.58145,0.92831,0.58009
0.091113,0.41616,0.21868,0.67143,0.27027,0.98987,0.85071,0.58599,1,0.61471,0.36241,0.049533,0.48957,0.19251,0.12308,0.20549,0.14651,0.18907,0.042652,0.6352,0.28187
0.57621,0.84193,0.1058,0.74126,0.19705,0.51442,0.56056,0.24673,0.61471,1,0.20846,0.56498,0.64031,0.41703,0.20598,0.94793,0.082071,0.10571,0.14204,0.16646,0.62096
0.68336,0.83292,0.1097,0.52005,0.82172,0.88428,0.92961,0.66642,0.36241,0.20846,1,0.51338,0.1776,0.39859,0.13393,0.03089,0.93914,0.30131,0.29553,0.33294,0.46707
0.54659,0.25644,0.063591,0.34771,0.42992,0.58803,0.69667,0.083483,0.049533,0.56498,0.51338,1,0.11816,0.98842,0.53998,0.70692,0.99949,0.28785,0.41452,0.46484,0.76396
0.42573,0.61346,0.40458,0.15,0.88777,0.15475,0.58279,0.62596,0.48957,0.64031,0.1776,0.11816,1,0.10401,0.74555,0.73627,0.56186,0.18419,0.59721,0.29994,0.13412
0.64444,0.58225,0.44837,0.58609,0.39118,0.19986,0.8154,0.66094,0.19251,0.41703,0.39859,0.98842,0.10401,1,0.33209,0.29735,0.062045,0.29824,0.046351,0.50543,0.76143
0.64762,0.54074,0.36582,0.26215,0.76911,0.40695,0.87901,0.72975,0.12308,0.20598,0.13393,0.53998,0.74555,0.33209,1,0.5261,0.72971,0.70725,0.78138,0.28798,0.69253
0.67902,0.86994,0.7635,0.044454,0.39679,0.74871,0.98891,0.89075,0.20549,0.94793,0.03089,0.70692,0.73627,0.29735,0.5261,1,0.088527,0.79835,0.94301,0.68372,0.13208
0.63579,0.26478,0.6279,0.75493,0.80851,0.82558,0.00052238,0.9823,0.14651,0.082071,0.93914,0.99949,0.56186,0.062045,0.72971,0.088527,1,0.59794,0.78936,0.36765,0.20603
0.94517,0.31807,0.77198,0.24279,0.75508,0.78996,0.86544,0.76903,0.18907,0.10571,0.30131,0.28785,0.18419,0.29824,0.70725,0.79835,0.59794,1,0.78443,0.29157,0.60353
0.20893,0.11921,0.93285,0.4424,0.3774,0.31852,0.61257,0.58145,0.042652,0.14204,0.29553,0.41452,0.59721,0.046351,0.78138,0.94301,0.78936,0.78443,1,0.60986,0.059403
0.70928,0.93983,0.97274,0.6878,0.21602,0.53406,0.98995,0.92831,0.6352,0.16646,0.33294,0.46484,0.29994,0.50543,0.28798,0.68372,0.36765,0.29157,0.60986,1,0.31643
0.23623,0.64555,0.19203,0.35923,0.79041,0.089951,0.52768,0.58009,0.28187,0.62096,0.46707,0.76396,0.13412,0.76143,0.69253,0.13208,0.20603,0.60353,0.059403,0.31643,1
